visualize_data: /root/x00827378/vllm-ascend/mytmp/OPPROF_20260627134444_LLPYGPYEZKODALFN/visualize_data.bin
Source: /root/x00827378/vllm-ascend/mytmp/build_libcust_opapi_nodebug_debug_line/binary/ascend910b/src/turboquant_pack_kv_for_cache4bit/turboquant_pack_kv_for_cache4bit.cpp
Line  Instructions Executed  Records  Range Count
visualize_data: /root/x00827378/vllm-ascend/mytmp/OPPROF_20260627134444_LLPYGPYEZKODALFN/visualize_data.bin
Source: /usr/local/Ascend/cann-8.5.1/aarch64-linux/asc/../../include/ascendc/include/adv_api/matmul/../../../impl/adv_api/detail/matmul/policy/../param/matmul_shape_tiling.h
Line  Instructions Executed  Records  Range Count
32    40                     1       2

visualize_data: /root/x00827378/vllm-ascend/mytmp/OPPROF_20260627134444_LLPYGPYEZKODALFN/visualize_data.bin
Source: /usr/local/Ascend/cann-8.5.1/aarch64-linux/asc/../../include/ascendc/include/adv_api/matmul/../../../impl/adv_api/detail/matmul/policy/../param/matmul_subblock_info.h
Line  Instructions Executed  Records  Range Count
33    520                    1       2
57    40                     1       2

visualize_data: /root/x00827378/vllm-ascend/mytmp/OPPROF_20260627134444_LLPYGPYEZKODALFN/visualize_data.bin
Source: /usr/local/Ascend/cann-8.5.1/aarch64-linux/asc/../../include/ascendc/include/adv_api/matmul/../../../impl/adv_api/detail/matmul/policy/../param/matmul_tensor_info.h
Line  Instructions Executed  Records  Range Count
50    320                    1       2
53    160                    1       1
56    160                    1       1

visualize_data: /root/x00827378/vllm-ascend/mytmp/OPPROF_20260627134444_LLPYGPYEZKODALFN/visualize_data.bin
Source: /usr/local/Ascend/cann-8.5.1/aarch64-linux/asc/../../include/ascendc/include/adv_api/matmul/../../../impl/adv_api/detail/matmul/policy/../param/matmul_usr_define_info.h
Line  Instructions Executed  Records  Range Count
52    160                    1       1
57    0                      1       1

visualize_data: /root/x00827378/vllm-ascend/mytmp/OPPROF_20260627134444_LLPYGPYEZKODALFN/visualize_data.bin
Source: /usr/local/Ascend/cann-8.5.1/aarch64-linux/asc/../../include/ascendc/include/adv_api/matmul/../../../impl/adv_api/detail/matmul/policy/../resource/cube_in_buffer/../../param/../../../tiling/matmul/matmul_constant_tiling_struct.h
Line  Instructions Executed  Records  Range Count
28    120                    1       4

visualize_data: /root/x00827378/vllm-ascend/mytmp/OPPROF_20260627134444_LLPYGPYEZKODALFN/visualize_data.bin
Source: /usr/local/Ascend/cann-8.5.1/aarch64-linux/asc/../../include/ascendc/include/adv_api/matmul/../../../impl/adv_api/detail/matmul/policy/../resource/cube_in_buffer/cube_in_buffer_double_buffer.h
Line  Instructions Executed  Records  Range Count
39    80                     1       4
45    80                     1       4
65    1040                   1       5
77    640                    1       4
79    13920                  1       7
91    6080                   1       20
92    640                    1       8
93    2560                   1       12
94    320                    1       8
102   960                    1       4
103   4160                   1       6
104   5440                   1       4
105   2240                   1       4
111   960                    1       4
112   0                      1       4
113   0                      1       2
115   2560                   1       2
116   0                      1       2
117   0                      1       2
134   3360                   1       3
147   4160                   1       14
160   5120                   1       10
242   640                    1       4
247   1920                   1       4
251   0                      1       4
253   320                    1       4
259   1920                   1       2
263   0                      1       8
265   640                    1       8
281   80                     1       4

visualize_data: /root/x00827378/vllm-ascend/mytmp/OPPROF_20260627134444_LLPYGPYEZKODALFN/visualize_data.bin
Source: /usr/local/Ascend/cann-8.5.1/aarch64-linux/asc/../../include/ascendc/include/adv_api/matmul/../../../impl/adv_api/detail/matmul/policy/../resource/cube_out_buffer/cube_out_buffer_no_unit_flag.h
Line  Instructions Executed  Records  Range Count
36    40                     1       2
48    520                    1       2
55    3840                   1       1
61    640                    1       5
66    2080                   1       11
71    2560                   1       6
76    1920                   1       3
81    7840                   1       2

visualize_data: /root/x00827378/vllm-ascend/mytmp/OPPROF_20260627134444_LLPYGPYEZKODALFN/visualize_data.bin
